시도,시군구,산부인과,연도
부산광역시,부산연제구,5,2021
부산광역시,부산영도구,5,2021
부산광역시,부산중구,1,2021
부산광역시,부산진구,9,2021
부산광역시,부산해운대구,11,2021
대구광역시,대구남구,5,2021
대구광역시,대구달서구,20,2021
대구광역시,대구달성군,4,2021
대구광역시,대구동구,13,2021
대구광역시,대구북구,13,2021
대구광역시,대구서구,4,2021
대구광역시,대구수성구,17,2021
대구광역시,대구중구,8,2021
인천광역시,인천계양구,7,2021
인천광역시,인천남동구,10,2021
인천광역시,인천동구,2,2021
인천광역시,인천미추홀구,7,2021
인천광역시,인천부평구,13,2021
인천광역시,인천서구,11,2021
인천광역시,인천연수구,6,2021
인천광역시,인천중구,3,2021
광주광역시,광주광산구,12,2021
광주광역시,광주남구,2,2021
광주광역시,광주동구,5,2021
광주광역시,광주북구,9,2021
광주광역시,광주서구,8,2021
대전광역시,대전대덕구,6,2021
대전광역시,대전동구,6,2021
대전광역시,대전서구,19,2021
대전광역시,대전유성구,9,2021
대전광역시,대전중구,3,2021
울산광역시,울산남구,16,2021
울산광역시,울산동구,4,2021
울산광역시,울산북구,4,2021
울산광역시,울산울주군,3,2021
울산광역시,울산중구,5,2021
세종특별자치시,세종시,9,2021
경기도,고양덕양구,8,2021
경기도,고양일산동구,6,2021
경기도,고양일산서구,6,2021
경기도,과천시,2,2021
경기도,광명시,10,2021
경기도,광주시,4,2021
경기도,구리시,6,2021
경기도,군포시,5,2021
경기도,김포시,8,2021
경기도,남양주시,16,2021
경기도,동두천시,3,2021
경기도,부천시,18,2021
경기도,성남분당구,18,2021
경기도,성남수정구,9,2021
경기도,성남중원구,6,2021
경기도,수원권선구,1,2021
경기도,수원영통구,6,2021
경기도,수원장안구,4,2021
경기도,수원팔달구,11,2021
경기도,시흥시,13,2021
경기도,안산단원구,12,2021
경기도,안산상록구,5,2021
경기도,안성시,2,2021
경기도,안양동안구,11,2021
경기도,안양만안구,4,2021
경기도,양주시,3,2021
경기도,양평군,1,2021
경기도,여주시,2,2021
경기도,오산시,3,2021
경기도,용인기흥구,7,2021
경기도,용인수지구,7,2021
경기도,용인처인구,4,2021
경기도,의왕시,1,2021
경기도,의정부시,9,2021
경기도,이천시,4,2021
경기도,파주시,2,2021
경기도,평택시,10,2021
경기도,포천시,3,2021
경기도,하남시,9,2021
경기도,화성시,13,2021
강원특별자치도,강릉시,7,2021
강원특별자치도,동해시,3,2021
강원특별자치도,삼척시,1,2021
강원특별자치도,속초시,4,2021
강원특별자치도,원주시,9,2021
강원특별자치도,춘천시,6,2021
강원특별자치도,태백시,1,2021
강원특별자치도,홍천군,1,2021
충청북도,보은군,1,2021
충청북도,옥천군,1,2021
충청북도,음성군,1,2021
충청북도,제천시,7,2021
충청북도,증평군,1,2021
충청북도,진천군,1,2021
충청북도,청주상당구,6,2021
충청북도,청주서원구,3,2021
충청북도,청주청원구,3,2021
충청북도,청주흥덕구,8,2021
충청북도,충주시,7,2021
충청남도,계룡시,1,2021
충청남도,공주시,4,2021
충청남도,금산군,1,2021
충청남도,논산시,3,2021
충청남도,당진시,2,2021
충청남도,보령시,2,2021
충청남도,서산시,3,2021
충청남도,서천군,1,2021
