년도,시도,시군구,산후조리원수,일반실_병실수,특실_병실수,총병실수
2020,대구,관악구,0,0,0,0
2020,대구,서초구,0,0,0,0
2020,대구,강남구,0,0,0,0
2020,대구,송파구,0,0,0,0
2020,대구,강동구,0,0,0,0
2020,대구,서구,1,220,260,480
2020,대구,동구,1,240,260,500
2020,대구,부산진구,0,0,0,0
2020,대구,동래구,0,0,0,0
2020,대구,남구,0,0,0,0
2020,대구,북구,5,1075,1260,2335
2020,대구,해운대구,0,0,0,0
2020,대구,사하구,0,0,0,0
2020,대구,금정구,0,0,0,0
2020,대구,연제구,0,0,0,0
2020,대구,수영구,0,0,0,0
2020,대구,기장군,0,0,0,0
2020,대구,수성구,7,1836,2350,4186
2020,대구,달서구,8,1875,1900,3775
2020,대구,달성군,2,470,530,1000
2020,대구,미추홀구,0,0,0,0
2020,대구,연수구,0,0,0,0
2020,대구,남동구,0,0,0,0
2020,대구,부평구,0,0,0,0
2020,대구,계양구,0,0,0,0
2020,대구,광산구,0,0,0,0
2020,대구,유성구,0,0,0,0
2020,대구,세종시,0,0,0,0
2020,대구,고양시 덕양구,0,0,0,0
2020,대구,고양시 일산동구,0,0,0,0
2020,대구,고양시 일산서구,0,0,0,0
2020,대구,광명시,0,0,0,0
2020,대구,구리시,0,0,0,0
2020,대구,군포시,0,0,0,0
2020,대구,김포시,0,0,0,0
2020,대구,남양주시,0,0,0,0
2020,대구,남양주시(풍양),0,0,0,0
2020,대구,부천시 원미구,0,0,0,0
2020,대구,성남시 분당구,0,0,0,0
2020,대구,성남시 수정구,0,0,0,0
2020,대구,성남시 중원구,0,0,0,0
2020,대구,시흥시,0,0,0,0
2020,대구,안산시 단원구,0,0,0,0
2020,대구,안산시 상록구,0,0,0,0
2020,대구,안성시,0,0,0,0
2020,대구,안양시 동안구,0,0,0,0
2020,대구,안양시 만안구,0,0,0,0
2020,대구,양주시,0,0,0,0
2020,대구,오산시,0,0,0,0
2020,대구,용인시 기흥구,0,0,0,0
2020,대구,용인시 수지구,0,0,0,0
2020,대구,용인시 처인구,0,0,0,0
2020,대구,의왕시,0,0,0,0
2020,대구,의정부시,0,0,0,0
2020,대구,이천시,0,0,0,0
2020,대구,파주시,0,0,0,0
2020,대구,평택시평택,0,0,0,0
2020,대구,평택시송탄,0,0,0,0
2020,대구,하남시,0,0,0,0
2020,대구,화성시,0,0,0,0
2020,대구,수원시 장안구,0,0,0,0
2020,대구,수원시 권선구,0,0,0,0
2020,대구,수원시 팔달구,0,0,0,0
2020,대구,수원시 영통구,0,0,0,0
2020,대구,여주시,0,0,0,0
2020,대구,강릉시,0,0,0,0
2020,대구,동해시,0,0,0,0
2020,대구,삼척시,0,0,0,0
2020,대구,원주시,0,0,0,0
2020,대구,춘천시,0,0,0,0
2020,대구,철원군,0,0,0,0
2020,대구,천안시 동남구,0,0,0,0
2020,대구,천안시 서북구,0,0,0,0
2020,대구,공주시,0,0,0,0
2020,대구,아산시,0,0,0,0
2020,대구,서산시,0,0,0,0
2020,대구,당진시,0,0,0,0
2020,대구,청주시 상당구,0,0,0,0
2020,대구,청주시 서원구,0,0,0,0
2020,대구,청주시 흥덕구,0,0,0,0
2020,대구,청주시 청원구,0,0,0,0
2020,대구,충주시,0,0,0,0
2020,대구,군산시,0,0,0,0
2020,대구,전주시,0,0,0,0
2020,대구,익산시,0,0,0,0
2020,대구,정읍시,0,0,0,0
2020,대구,목포시,0,0,0,0
2020,대구,여수시,0,0,0,0
2020,대구,순천시,0,0,0,0
2020,대구,광양시,0,0,0,0
2020,대구,강진군,0,0,0,0
2020,대구,해남군,0,0,0,0
2020,대구,영광군,0,0,0,0
2020,대구,완도군,0,0,0,0
2020,대구,경산시,0,0,0,0
2020,대구,경주시,0,0,0,0
2020,대구,구미시,0,0,0,0
2020,대구,안동시,0,0,0,0
2020,대구,포항시(북구),0,0,0,0
2020,대구,거제시,0,0,0,0
2020,대구,김해시,0,0,0,0
2020,대구,양산시,0,0,0,0
2020,대구,진주시,0,0,0,0
2020,대구,창원시,0,0,0,0
2020,대구,통영시,0,0,0,0
2020,대구,제주시,0,0,0,0
2020,대구,서귀포시,0,0,0,0
2020,대구,용산구,0,0,0,0
2020,대구,수원시,0,0,0,0
2020,대구,용인시,0,0,0,0
2020,대구,고양시,0,0,0,0
2020,대구,성남시,0,0,0,0
2020,대구,부천시,0,0,0,0
2020,대구,안산시,0,0,0,0
2020,대구,평택시,0,0,0,0
2020,대구,안양시,0,0,0,0
2020,대구,포천시,0,0,0,0
2020,대구,화천군,0,0,0,0
2020,대구,양구군,0,0,0,0
2020,대구,청주시,0,0,0,0
2020,대구,천안시,0,0,0,0
2020,대구,홍성군,0,0,0,0
2020,대구,나주시,0,0,0,0
2020,대구,포항시,0,0,0,0
2020,대구,김천시,0,0,0,0
2020,대구,영천시,0,0,0,0
2020,대구,상주시,0,0,0,0
2020,대구,울진군,0,0,0,0
2020,대구,밀양시,0,0,0,0
2020,인천,종로구,0,0,0,0
2020,인천,중구,0,0,0,0
2020,인천,성동구,0,0,0,0
2020,인천,광진구,0,0,0,0
2020,인천,동대문구,0,0,0,0
2020,인천,중랑구,0,0,0,0
2020,인천,성북구,0,0,0,0
2020,인천,강북구,0,0,0,0
2020,인천,도봉구,0,0,0,0
2020,인천,노원구,0,0,0,0
2020,인천,은평구,0,0,0,0
2020,인천,서대문구,0,0,0,0
2020,인천,마포구,0,0,0,0
2020,인천,양천구,0,0,0,0
2020,인천,강서구,0,0,0,0
2020,인천,구로구,0,0,0,0
2020,인천,금천구,0,0,0,0
2020,인천,영등포구,0,0,0,0
2020,인천,동작구,0,0,0,0
2020,인천,관악구,0,0,0,0
2020,인천,서초구,0,0,0,0
2020,인천,강남구,0,0,0,0
2020,인천,송파구,0,0,0,0
2020,인천,강동구,0,0,0,0
2020,인천,서구,8,1925,1065,2990
2020,인천,동구,0,0,0,0
2020,인천,부산진구,0,0,0,0
2020,인천,동래구,0,0,0,0
2020,인천,남구,0,0,0,0
2020,인천,북구,0,0,0,0
2020,인천,해운대구,0,0,0,0
2020,인천,사하구,0,0,0,0
2020,인천,금정구,0,0,0,0
2020,인천,연제구,0,0,0,0
2020,인천,수영구,0,0,0,0
2020,인천,기장군,0,0,0,0
2020,인천,수성구,0,0,0,0
2020,인천,달서구,0,0,0,0
2020,인천,달성군,0,0,0,0
2020,인천,미추홀구,5,1270,940,2210
2020,인천,연수구,4,1240,600,1840
2020,인천,남동구,4,980,960,1940
2020,인천,부평구,3,640,770,1410
2020,인천,계양구,4,800,700,1500
2020,인천,광산구,0,0,0,0
2020,인천,유성구,0,0,0,0
2020,인천,세종시,0,0,0,0
2020,인천,고양시 덕양구,0,0,0,0
2020,인천,고양시 일산동구,0,0,0,0
2020,인천,고양시 일산서구,0,0,0,0
2020,인천,광명시,0,0,0,0
2020,인천,구리시,0,0,0,0
2020,인천,군포시,0,0,0,0
2020,인천,김포시,0,0,0,0
2020,인천,남양주시,0,0,0,0
2020,인천,남양주시(풍양),0,0,0,0
2020,인천,부천시 원미구,0,0,0,0
2020,인천,성남시 분당구,0,0,0,0
2020,인천,성남시 수정구,0,0,0,0
2020,인천,성남시 중원구,0,0,0,0
2020,인천,시흥시,0,0,0,0
2020,인천,안산시 단원구,0,0,0,0
2020,인천,안산시 상록구,0,0,0,0
2020,인천,안성시,0,0,0,0
2020,인천,안양시 동안구,0,0,0,0
2020,인천,안양시 만안구,0,0,0,0
2020,인천,양주시,0,0,0,0
2020,인천,오산시,0,0,0,0
2020,인천,용인시 기흥구,0,0,0,0
2020,인천,용인시 수지구,0,0,0,0
2020,인천,용인시 처인구,0,0,0,0
2020,인천,의왕시,0,0,0,0
2020,인천,의정부시,0,0,0,0
2020,인천,이천시,0,0,0,0
2020,인천,파주시,0,0,0,0
2020,인천,평택시평택,0,0,0,0
2020,인천,평택시송탄,0,0,0,0
2020,인천,하남시,0,0,0,0
2020,인천,화성시,0,0,0,0
2020,인천,수원시 장안구,0,0,0,0
2020,인천,수원시 권선구,0,0,0,0
2020,인천,수원시 팔달구,0,0,0,0
2020,인천,수원시 영통구,0,0,0,0
2020,인천,여주시,0,0,0,0
2020,인천,강릉시,0,0,0,0
2020,인천,동해시,0,0,0,0
2020,인천,삼척시,0,0,0,0
2020,인천,원주시,0,0,0,0
2020,인천,춘천시,0,0,0,0
2020,인천,철원군,0,0,0,0
2020,인천,천안시 동남구,0,0,0,0
2020,인천,천안시 서북구,0,0,0,0
2020,인천,공주시,0,0,0,0
2020,인천,아산시,0,0,0,0
2020,인천,서산시,0,0,0,0
2020,인천,당진시,0,0,0,0
2020,인천,청주시 상당구,0,0,0,0
2020,인천,청주시 서원구,0,0,0,0
2020,인천,청주시 흥덕구,0,0,0,0
2020,인천,청주시 청원구,0,0,0,0
2020,인천,충주시,0,0,0,0
2020,인천,군산시,0,0,0,0
2020,인천,전주시,0,0,0,0
2020,인천,익산시,0,0,0,0
2020,인천,정읍시,0,0,0,0
2020,인천,목포시,0,0,0,0
2020,인천,여수시,0,0,0,0
2020,인천,순천시,0,0,0,0
2020,인천,광양시,0,0,0,0
2020,인천,강진군,0,0,0,0
2020,인천,해남군,0,0,0,0
2020,인천,영광군,0,0,0,0
2020,인천,완도군,0,0,0,0
2020,인천,경산시,0,0,0,0
2020,인천,경주시,0,0,0,0
2020,인천,구미시,0,0,0,0
2020,인천,안동시,0,0,0,0
2020,인천,포항시(북구),0,0,0,0
2020,인천,거제시,0,0,0,0
2020,인천,김해시,0,0,0,0
2020,인천,양산시,0,0,0,0
2020,인천,진주시,0,0,0,0
2020,인천,창원시,0,0,0,0
2020,인천,통영시,0,0,0,0
2020,인천,제주시,0,0,0,0
2020,인천,서귀포시,0,0,0,0
2020,인천,용산구,0,0,0,0
2020,인천,수원시,0,0,0,0
2020,인천,용인시,0,0,0,0
2020,인천,고양시,0,0,0,0
2020,인천,성남시,0,0,0,0
2020,인천,부천시,0,0,0,0
2020,인천,안산시,0,0,0,0
2020,인천,평택시,0,0,0,0
2020,인천,안양시,0,0,0,0
2020,인천,포천시,0,0,0,0
2020,인천,화천군,0,0,0,0
2020,인천,양구군,0,0,0,0
2020,인천,청주시,0,0,0,0
2020,인천,천안시,0,0,0,0
2020,인천,홍성군,0,0,0,0
2020,인천,나주시,0,0,0,0
2020,인천,포항시,0,0,0,0
2020,인천,김천시,0,0,0,0
2020,인천,영천시,0,0,0,0
2020,인천,상주시,0,0,0,0
2020,인천,울진군,0,0,0,0
2020,인천,밀양시,0,0,0,0
2020,광주,종로구,0,0,0,0
2020,광주,중구,0,0,0,0
2020,광주,성동구,0,0,0,0
2020,광주,광진구,0,0,0,0
2020,광주,동대문구,0,0,0,0
