"행정구역","2025년10월_계_총인구수","2025년10월_계_연령구간인구수","2025년10월_계_0~9세","2025년10월_계_10~19세","2025년10월_계_20~29세","2025년10월_계_30~39세","2025년10월_계_40~49세","2025년10월_계_50~59세","2025년10월_계_60~69세","2025년10월_계_70~79세","2025년10월_계_80~89세","2025년10월_계_90~99세","2025년10월_계_100세 이상","2025년10월_남_총인구수","2025년10월_남_연령구간인구수","2025년10월_남_0~9세","2025년10월_남_10~19세","2025년10월_남_20~29세","2025년10월_남_30~39세","2025년10월_남_40~49세","2025년10월_남_50~59세","2025년10월_남_60~69세","2025년10월_남_70~79세","2025년10월_남_80~89세","2025년10월_남_90~99세","2025년10월_남_100세 이상","2025년10월_여_총인구수","2025년10월_여_연령구간인구수","2025년10월_여_0~9세","2025년10월_여_10~19세","2025년10월_여_20~29세","2025년10월_여_30~39세","2025년10월_여_40~49세","2025년10월_여_50~59세","2025년10월_여_60~69세","2025년10월_여_70~79세","2025년10월_여_80~89세","2025년10월_여_90~99세","2025년10월_여_100세 이상"
"경기도 용인시 수지구 (4146500000)","374,586","374,586","27,704","45,943","42,357","48,240","66,215","63,219","39,355","25,888","13,678","1,943","44","182,137","182,137","14,018","23,324","21,362","23,383","31,549","31,107","19,318","11,180","6,222","664","10","192,449","192,449","13,686","22,619","20,995","24,857","34,666","32,112","20,037","14,708","7,456","1,279","34"
"경기도 파주시 (4148000000)","523,806","523,806","38,596","55,025","54,695","73,307","87,210","88,343","68,594","35,516","19,209","3,240","71","264,037","264,037","19,740","27,920","29,196","37,762","45,207","45,401","34,546","16,248","7,163","836","18","259,769","259,769","18,856","27,105","25,499","35,545","42,003","42,942","34,048","19,268","12,046","2,404","53"
"경기도 이천시 (4150000000)","224,099","224,099","13,684","22,319","27,087","31,189","33,674","36,847","33,356","16,541","7,947","1,417","38","117,079","117,079","7,113","11,536","15,450","17,576","17,679","19,155","17,184","7,963","3,034","375","14","107,020","107,020","6,571","10,783","11,637","13,613","15,995","17,692","16,172","8,578","4,913","1,042","24"
"경기도 안성시 (4155000000)","196,642","196,642","10,536","17,706","21,977","23,487","29,056","34,027","31,886","17,475","8,837","1,616","39","101,619","101,619","5,454","9,101","12,031","13,148","15,624","17,946","16,238","8,429","3,260","384","4","95,023","95,023","5,082","8,605","9,946","10,339","13,432","16,081","15,648","9,046","5,577","1,232","35"
"경기도 김포시 (4157000000)","484,654","484,654","38,300","55,899","46,523","62,700","91,819","76,200","61,376","34,479","14,893","2,410","55","241,800","241,800","19,695","28,413","23,773","31,187","46,390","39,239","30,389","16,067","6,017","618","12","242,854","242,854","18,605","27,486","22,750","31,513","45,429","36,961","30,987","18,412","8,876","1,792","43"
"경기도 화성시 (4159000000)","988,166","988,166","89,804","116,982","109,660","164,155","186,726","150,279","101,894","45,638","19,456","3,495","77","512,411","512,411","46,062","59,427","58,672","87,342","97,914","79,837","52,985","21,923","7,451","788","10","475,755","475,755","43,742","57,555","50,988","76,813","88,812","70,442","48,909","23,715","12,005","2,707","67"
"경기도 광주시 (4161000000)","397,502","397,502","26,911","36,362","38,773","51,844","67,410","69,912","61,292","30,821","12,254","1,862","61","202,511","202,511","13,767","18,608","20,561","27,205","35,419","35,896","30,606","14,922","5,054","456","17","194,991","194,991","13,144","17,754","18,212","24,639","31,991","34,016","30,686","15,899","7,200","1,406","44"
"경기도 양주시 (4163000000)","295,263","295,263","22,689","28,855","31,096","40,147","46,608","49,918","41,237","22,189","10,676","1,800","48","148,451","148,451","11,517","14,541","16,401","20,660","23,978","25,449","20,834","10,396","4,189","476","10","146,812","146,812","11,172","14,314","14,695","19,487","22,630","24,469","20,403","11,793","6,487","1,324","38"
"경기도 포천시 (4165000000)","140,645","140,645","5,728","9,867","14,201","13,819","15,682","26,334","30,547","15,034","7,932","1,446","55","74,433","74,433","3,005","5,130","8,069","7,932","8,526","14,267","16,656","7,576","2,914","339","19","66,212","66,212","2,723","4,737","6,132","5,887","7,156","12,067","13,891","7,458","5,018","1,107","36"
"경기도 여주시 (4167000000)","114,167","114,167","5,346","9,056","10,028","11,402","14,658","20,024","22,681","13,276","6,497","1,167","32","58,182","58,182","2,711","4,772","5,443","6,235","7,534","10,366","11,664","6,609","2,537","308","3","55,985","55,985","2,635","4,284","4,585","5,167","7,124","9,658","11,017","6,667","3,960","859","29"
"경기도 연천군 (4180000000)","41,347","41,347","1,837","2,714","4,066","4,008","4,077","6,343","8,879","5,580","3,251","577","15","21,597","21,597","937","1,419","2,524","2,378","2,197","3,405","4,617","2,742","1,212","163","3","19,750","19,750","900","1,295","1,542","1,630","1,880","2,938","4,262","2,838","2,039","414","12"
"경기도 가평군 (4182000000)","62,224","62,224","2,501","4,138","5,301","5,390","6,918","10,484","13,868","8,551","4,337","706","30","31,980","31,980","1,289","2,102","3,016","2,964","3,654","5,577","7,206","4,223","1,756","186","7","30,244","30,244","1,212","2,036","2,285","2,426","3,264","4,907","6,662","4,328","2,581","520","23"
"경기도 양평군 (4183000000)","127,241","127,241","5,686","10,153","9,091","10,551","15,331","21,390","27,886","17,457","8,157","1,503","36","64,028","64,028","2,908","5,379","5,130","5,488","7,632","10,918","14,096","8,656","3,455","362","4","63,213","63,213","2,778","4,774","3,961","5,063","7,699","10,472","13,790","8,801","4,702","1,141","32"
